BBL,Required to report automated water data from DEP?,Borocode,Block,Lot,Number of Buildings,Tax Class,Building Class,Street Number2,Street Name,Postcode,Borough,DOF Square Footage,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
1000020002,No,1,2,2,1,4,Y7,10,SOUTH STREET,10004,Manhattan,"158,197",40.701695,-74.011631,101,1,9,1000003,Battery Park City-Lower Manhattan
1000047501,No,1,4,7501,1,2,R0,1,WATER STREET,10038,Manhattan,"2,542,563",40.702444,-74.012742,101,1,9,1000005,Battery Park City-Lower Manhattan
1000050010,No,1,5,10,1,4,O4,115,BROAD STREET,10004,Manhattan,"1,016,406",40.702486,-74.011357,101,1,9,1000007,Battery Park City-Lower Manhattan
1000057501,No,1,5,7501,1,2,R0,125,BROAD STREET,10004,Manhattan,"1,354,691",40.702112,-74.011249,101,1,9,1000006,Battery Park City-Lower Manhattan
1000080039,Yes,1,8,39,1,4,H3,32,PEARL STREET,10004,Manhattan,"46,724",40.703235,-74.012421,101,1,9,1078968,Battery Park City-Lower Manhattan
1000080051,Yes,1,8,51,1,4,H2,6,WATER STREET,10004,Manhattan,"102,407",40.702744,-74.012201,101,1,9,1090472,Battery Park City-Lower Manhattan
1000087501,Yes,1,8,7501,1,2,R0,2,WATER STREET,0,Manhattan,"169,061",40.702458,-74.012753,101,1,9,1087700,Battery Park City-Lower Manhattan
1000090001,No,1,9,1,1,4,O4,34,WHITEHALL STREET,10004,Manhattan,"692,431",40.703034,-74.012991,101,1,9,1000018,Battery Park City-Lower Manhattan
1000090014,No,1,9,14,1,4,O4,17,STATE STREET,10004,Manhattan,"544,015",40.702798,-74.014246,101,1,9,1000020,Battery Park City-Lower Manhattan
1000090029,No,1,9,29,1,4,O4,24,STATE STREET,10004,Manhattan,"896,956",40.703534,-74.014387,101,1,9,1000021,Battery Park City-Lower Manhattan
1000100001,No,1,10,1,1,4,K4,100,BROAD STREET,10004,Manhattan,"26,013",40.703512,-74.011606,101,1,9,1000022,Battery Park City-Lower Manhattan
1000100014,No,1,10,14,1,4,O4,33,WHITEHALL STREET,10004,Manhattan,"365,792",40.703312,-74.013038,101,1,9,1000023,Battery Park City-Lower Manhattan
1000100016,No,1,10,16,1,4,O4,90,BROAD STREET,10004,Manhattan,"336,025",40.703954,-74.011592,101,1,9,1000025,Battery Park City-Lower Manhattan
1000100033,Yes,1,10,33,1,4,H2,8,STONE STREET,10004,Manhattan,"143,731",40.704025,-74.012638,101,1,9,1087618,Battery Park City-Lower Manhattan
1000110014,Yes,1,11,14,1,2,D4,26,BEAVER STREET,10004,Manhattan,"51,387",40.704959,-74.011902,101,1,9,1085816,Battery Park City-Lower Manhattan
1000110021,No,1,11,21,1,4,O4,80,BROAD STREET,10004,Manhattan,"361,710",40.704322,-74.011581,101,1,9,1000038,Battery Park City-Lower Manhattan
1000110029,No,1,11,29,1,4,H2,11,STONE STREET,10004,Manhattan,"59,410",40.704039,-74.012317,101,1,9,1000041,Battery Park City-Lower Manhattan
1000130001,Yes,1,13,1,1,4,O6,1,BROADWAY,10004,Manhattan,"180,646",40.704785,-74.014099,101,1,13,1000043,Battery Park City-Lower Manhattan
1000130005,No,1,13,5,1,4,O4,11,BROADWAY,10004,Manhattan,"434,220",40.705354,-74.013731,101,1,13,1000044,Battery Park City-Lower Manhattan
1000130027,No,1,13,27,1,4,O4,25,BROADWAY,10004,Manhattan,"809,401",40.705752,-74.013374,101,1,13,1000045,Battery Park City-Lower Manhattan
1000150022,Yes,1,15,22,1,2,D8,21,WEST STREET,10004,Manhattan,"335,746",40.706451,-74.016119,101,1,13,1000047,Battery Park City-Lower Manhattan
1000157501,Yes,1,15,7501,1,2,R0,17,BATTERY PLACE,10004,Manhattan,"1,402,831",40.704884,-74.015927,101,1,13,1082634,Battery Park City-Lower Manhattan
1000157502,No,1,15,7502,1,2,R0,20,WEST STREET,10004,Manhattan,"259,076",40.706358,-74.016151,101,1,13,1087243,Battery Park City-Lower Manhattan
1000160010,No,1,16,10,1,4,P7,18,1 PLACE,10280,Manhattan,"114,100",,,,,,1084594,
1000160015,Yes,1,16,15,1,2,D8,50,BATTERY PLACE,10280,Manhattan,"239,165",40.706284,-74.017904,101,1,31704,1085938,Battery Park City-Lower Manhattan
1000160020,Yes,1,16,20,1,2,D8,70,BATTERY PLACE,10280,Manhattan,"230,765",40.707047,-74.017439,101,1,31704,1085778,Battery Park City-Lower Manhattan
1000160100,Yes,1,16,100,6,2,D6,345,SOUTH END AVENUE,10280,Manhattan,"127,720",40.710733,-74.016131,101,1,31704,1083378,Battery Park City-Lower Manhattan
1000160120,Yes,1,16,120,1,4,O4,200,LIBERTY STREET,10281,Manhattan,"1,501,878",40.711425,-74.015442,101,1,31704,1000057,Battery Park City-Lower Manhattan
1000160125,Yes,1,16,125,1,4,O4,225,LIBERTY STREET,10280,Manhattan,"2,267,925",40.711537,-74.015673,101,1,31703,1000058,Battery Park City-Lower Manhattan
1000160140,Yes,1,16,140,1,4,O4,200,VESEY STREET,10281,Manhattan,"2,233,692",40.714447,-74.015493,101,1,31703,1000059,Battery Park City-Lower Manhattan
1000160150,No,1,16,150,1,4,O4,250,VESEY STREET,10281,Manhattan,"2,084,079",40.714529,-74.015677,101,1,31703,1000060,Battery Park City-Lower Manhattan
1000160180,Yes,1,16,180,1,2,D8,20,RIVER TERRACE,10007,Manhattan,"356,786",40.716942,-74.016298,101,1,31703,1086174,Battery Park City-Lower Manhattan
1000160185,Yes,1,16,185,1,2,D8,211,NORTH END AVENUE,10282,Manhattan,"283,905",40.71622,-74.015075,101,1,31703,1086547,Battery Park City-Lower Manhattan
1000160205,Yes,1,16,205,1,2,D8,455,NORTH END AVENUE,10282,Manhattan,"239,185",40.717384,-74.014166,101,1,31703,1085815,Battery Park City-Lower Manhattan
1000160210,Yes,1,16,210,1,2,D8,399,CHAMBERS STREET,10282,Manhattan,"357,000",40.718073,-74.014855,101,1,31703,1085486,Battery Park City-Lower Manhattan
